"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2020","48.52","45.08","49.28","43.92","6.21M","7.01%"
"11/01/2020","45.34","35.24","46.26","33.64","7.03M","26.68%"
"10/01/2020","35.79","39.90","41.70","34.92","7.35M","-11.01%"
"09/01/2020","40.22","42.83","43.43","36.13","6.75M","-5.61%"
"08/01/2020","42.61","40.39","43.78","39.58","6.37M","5.81%"
"07/01/2020","40.27","39.84","42.40","38.54","6.79M","2.55%"
"06/01/2020","39.27","35.21","41.63","34.27","7.64M","10.65%"
"05/01/2020","35.49","19.04","35.77","18.05","5.91M","88.38%"
"04/01/2020","18.84","20.10","29.13","-40.32","14.56M","-8.01%"
"03/01/2020","20.48","43.70","48.66","19.27","16.68M","-54.24%"
"02/01/2020","44.76","51.01","54.50","43.85","13.33M","-13.19%"
"01/01/2020","51.56","61.60","65.65","50.97","12.54M","-15.56%"
"12/01/2019","61.06","55.47","62.34","55.35","9.27M","10.68%"
"11/01/2019","55.17","54.15","58.74","54.07","9.47M","1.83%"
"10/01/2019","54.18","54.28","56.92","50.99","11.55M","0.20%"
"09/01/2019","54.07","55.00","63.38","52.84","13.08M","-1.87%"
"08/01/2019","55.10","57.85","57.99","50.52","14.04M","-5.94%"
"07/01/2019","58.58","59.27","60.94","54.72","11.80M","0.19%"
"06/01/2019","58.47","53.42","59.93","50.60","12.46M","9.29%"
"05/01/2019","53.50","63.40","63.93","53.05","16.25M","-16.29%"
"04/01/2019","63.91","60.24","66.60","60.13","13.33M","6.27%"
"03/01/2019","60.14","57.22","60.73","54.52","11.96M","5.10%"
"02/01/2019","57.22","54.01","57.81","51.23","10.55M","6.38%"
"01/01/2019","53.79","45.80","55.37","44.35","14.02M","18.45%"
"12/01/2018","45.41","52.45","54.55","42.36","12.16M","-10.84%"
"11/01/2018","50.93","64.88","65.39","49.41","15.12M","-22.02%"
"10/01/2018","65.31","73.29","76.90","64.81","13.04M","-10.84%"
"09/01/2018","73.25","69.89","73.73","66.86","10.09M","4.94%"
"08/01/2018","69.80","68.43","70.50","64.43","10.42M","1.51%"
"07/01/2018","68.76","73.62","75.27","67.03","10.91M","-7.27%"
"06/01/2018","74.15","67.07","74.46","63.59","12.86M","10.61%"
"05/01/2018","67.04","68.56","72.83","65.80","15.04M","-2.23%"
"04/01/2018","68.57","64.91","69.56","61.81","12.71M","5.59%"
"03/01/2018","64.94","61.55","66.55","59.95","12.38M","5.35%"
"02/01/2018","61.64","64.76","66.30","58.07","11.99M","-4.77%"
"01/01/2018","64.73","60.20","66.66","60.10","12.77M","7.13%"
"12/01/2017","60.42","57.42","60.51","55.82","9.49M","5.26%"
"11/01/2017","57.40","54.65","59.05","53.89","12.53M","5.55%"
"10/01/2017","54.38","51.64","54.85","49.10","11.95M","5.24%"
"09/01/2017","51.67","47.08","52.86","46.56","12.24M","9.40%"
"08/01/2017","47.23","50.21","50.43","45.58","17.17M","-5.86%"
"07/01/2017","50.17","46.28","50.41","43.65","14.57M","8.97%"
"06/01/2017","46.04","48.63","49.17","42.05","15.23M","-4.72%"
"05/01/2017","48.32","49.17","52.00","43.76","14.25M","-2.05%"
"04/01/2017","49.33","50.69","53.76","48.20","9.72M","-2.51%"
"03/01/2017","50.60","53.95","54.44","47.01","12.60M","-6.31%"
"02/01/2017","54.01","52.76","54.94","51.22","9.09M","2.27%"
"01/01/2017","52.81","54.20","55.24","50.71","10.11M","-1.69%"
"12/01/2016","53.72","49.07","54.51","48.98","10.64M","8.66%"
"11/01/2016","49.44","46.77","49.90","42.20","13.50M","5.51%"
"10/01/2016","46.86","48.04","51.93","46.63","10.82M","-2.86%"
"09/01/2016","48.24","44.85","48.32","42.55","12.37M","7.92%"
"08/01/2016","44.70","41.35","48.75","39.19","11.59M","7.45%"
"07/01/2016","41.60","48.38","49.35","40.57","9.34M","-13.93%"
"06/01/2016","48.33","48.82","51.67","45.83","10.42M","-1.57%"
"05/01/2016","49.10","45.90","50.21","43.03","11.20M","6.93%"
"04/01/2016","45.92","38.14","46.78","35.24","11.62M","19.77%"
"03/01/2016","38.34","33.90","41.90","33.37","10.88M","13.60%"
"02/01/2016","33.75","33.83","34.69","26.05","11.47M","0.39%"
"01/01/2016","33.62","37.60","38.39","26.19","10.39M","-9.23%"
"12/01/2015","37.04","41.73","42.23","33.98","8.70M","-11.07%"
"11/01/2015","41.65","46.43","48.36","38.99","7.88M","-10.60%"
"10/01/2015","46.59","45.38","50.92","42.58","8.31M","3.33%"
"09/01/2015","45.09","48.10","48.87","43.21","7.97M","-8.35%"
"08/01/2015","49.20","46.86","49.33","37.75","8.24M","4.41%"
"07/01/2015","47.12","58.98","58.98","46.68","7.17M","-20.77%"
"06/01/2015","59.47","60.29","61.82","56.83","6.54M","-1.38%"
"05/01/2015","60.30","59.79","62.58","56.51","6.34M","1.12%"
"04/01/2015","59.63","47.55","59.85","47.05","7.63M","25.27%"
"03/01/2015","47.60","49.45","52.48","42.03","7.69M","-4.34%"
"02/01/2015","49.76","47.59","54.24","46.67","8.46M","3.15%"
"01/01/2015","48.24","53.76","55.11","43.58","7.31M","-9.44%"
